The Ronco Principle,http://paulgraham.com/ronco.html,January 2015,Sam Altman and Jessica Livingston
What Doesn't Seem Like Work?,http://paulgraham.com/work.html,January 2015,"Sam Altman, Trevor Blackwell, Jessica Livingston, Robert Morris, and my father"
Don't Talk to Corp Dev,http://paulgraham.com/corpdev.html,January 2015,"Marc Andreessen, Jessica Livingston, Geoff Ralston, and Qasar Younis"
Let the Other 95% of Great Programmers In,http://paulgraham.com/95.html,December 2014,"Sam Altman, John Collison, Patrick Collison, Jessica Livingston, Geoff Ralston, Fred Wilson, and Qasar Younis"
How to Be an Expert in a Changing World,http://paulgraham.com/ecw.html,December 2014,"Sam Altman, Patrick Collison, and Robert Morris"
How You Know,http://paulgraham.com/know.html,December 2014,"Sam Altman, Jessica Livingston, and Robert Morris"
The Fatal Pinch,http://paulgraham.com/pinch.html,December 2014,"Sam Altman, Paul Buchheit, Jessica Livingston, and Geoff Ralston"
Mean People Fail,http://paulgraham.com/mean.html,November 2014,"Sam Altman, Ron Conway, Daniel Gackle, Jessica Livingston, Robert Morris, Geoff Ralston, and Fred Wilson"
Before the Startup,http://paulgraham.com/before.html,October 2014,"Sam Altman, Paul Buchheit, John Collison, Patrick Collison, Jessica Livingston, Robert Morris, Geoff Ralston, and Fred Wilson"
How to Raise Money,http://paulgraham.com/fr.html,September 2013,"Slava Akhmechet, Sam Altman, Nate Blecharczyk, Adora Cheung, Bill Clerico, John Collison, Patrick Collison, Parker Conrad, Ron Conway, Travis Deyle, Jason Freedman, Joe Gebbia, Mattan Griffel, Kevin Hale, Jacob Heller, Ian Hogarth, Justin Kan, Professor Moriarty, Nikhil Nirmel, David Petersen, Geoff Ralston, Joshua Reeves, Yuri Sagalov, Emmett Shear, Rajat Suri, Garry Tan, and Nick Tomarello"
Investor Herd Dynamics,http://paulgraham.com/herd.html,August 2013,"Paul Buchheit, Jessica Livingston, Geoff Ralston, and Garry Tan"
How to Convince Investors,http://paulgraham.com/convince.html,August 2013,"Marc Andreessen, Sam Altman, Patrick Collison, Ron Conway, Chris Dixon, Alfred Lin, Ben Horowitz, Steve Huffman, Jessica Livingston, Greg Mcadoo, Andrew Mason, Geoff Ralston, Yuri Sagalov, Emmett Shear, Rajat Suri, Garry Tan, Albert Wenger, Fred Wilson, and Qasar Younis"
Do Things that Don't Scale,http://paulgraham.com/ds.html,July 2013,"Sam Altman, Paul Buchheit, Patrick Collison, Kevin Hale, Steven Levy, Jessica Livingston, Geoff Ralston, and Garry Tan"
Startup Investing Trends,http://paulgraham.com/invtrend.html,June 2013,"Sam Altman, Paul Buchheit, Dalton Caldwell, Patrick Collison, Jessica Livingston, Andrew Mason, Geoff Ralston, and Garry Tan"
How to Get Startup Ideas,http://paulgraham.com/startupideas.html,November 2012,"Sam Altman, Michael Arrington, Paul Buchheit, John Collison, Patrick Collison, Garry Tan, and Harj Taggar, and Marc Andreessen, Joe Gebbia, Reid Hoffman, Shel Kaphan, Mike Moritz and Kevin Systrom"
The Hardware Renaissance,http://paulgraham.com/hw.html,October 2012,"Sam Altman, Trevor Blackwell, David Cann, Sanjay Dastoor, Paul Gerhardt, Cameron Robertson, Harj Taggar, and Garry Tan"
Startup = Growth,http://paulgraham.com/growth.html,September 2012,"Sam Altman, Marc Andreessen, Paul Buchheit, Patrick Collison, Jessica Livingston, Geoff Ralston, and Harj Taggar"
Black Swan Farming,http://paulgraham.com/swan.html,September 2012,"Sam Altman, Paul Buchheit, Patrick Collison, Jessica Livingston, Geoff Ralston, and Harj Taggar"
The Top of My Todo List,http://paulgraham.com/todo.html,April 2012,None
Writing and Speaking,http://paulgraham.com/speak.html,March 2012,Sam Altman and Robert Morris
Defining Property,http://paulgraham.com/property.html,March 2012,Sam Altman and Geoff Ralston
Frighteningly Ambitious Startup Ideas,http://paulgraham.com/ambitious.html,March 2012,"Sam Altman, Trevor Blackwell, Paul Buchheit, Patrick Collison, Aaron Iba, Jessica Livingston, Robert Morris, Harj Taggar and Garry Tan"
A Word to the Resourceful,http://paulgraham.com/word.html,January 2012,"Sam Altman, Patrick Collison, Aaron Iba, Jessica Livingston, Robert Morris, Harj Taggar, and Garry Tan"
Schlep Blindness,http://paulgraham.com/schlep.html,January 2012,"Sam Altman, Paul Buchheit, Patrick Collison, Aaron Iba, Jessica Livingston, Emmett Shear, and Harj Taggar"
"Snapshot: Viaweb, June 1998",http://paulgraham.com/vw.html,January 2012,None
Why Startup Hubs Work,http://paulgraham.com/hubs.html,October 2011,"Sam Altman, Paul Buchheit, Jessica Livingston, and Harj Taggar"
The Patent Pledge,http://paulgraham.com/patentpledge.html,August 2011,None
Subject: Airbnb,http://paulgraham.com/airbnb.html,March 2011,None
Founder Control,http://paulgraham.com/control.html,December 2010,"Sam Altman, John Bautista, Trevor Blackwell, Paul Buchheit, Brian Chesky, Bill Clerico, Patrick Collison, Adam Goldstein, James Lindenbaum, Jessica Livingston, and Fred Wilson"
Tablets,http://paulgraham.com/tablets.html,December 2010,"Sam Altman, Paul Buchheit, Jessica Livingston, and Robert Morris"
What We Look for in Founders,http://paulgraham.com/founders.html,October 2010,Jessica Livingston and Chris Steiner
The New Funding Landscape,http://paulgraham.com/superangels.html,October 2010,"Sam Altman, John Bautista, Patrick Collison, James Lindenbaum, Reid Hoffman, Jessica Livingston and Harj Taggar"
Where to See Silicon Valley,http://paulgraham.com/seesv.html,October 2010,"Sam Altman, Paul Buchheit, Patrick Collison, and Jessica Livingston"
High Resolution Fundraising,http://paulgraham.com/hiresfund.html,September 2010,"Immad Akhund, Sam Altman, John Bautista, Pete Koomen, Jessica Livingston, Dan Siroker, Harj Taggar, and Fred Wilson"
What Happened to Yahoo,http://paulgraham.com/yahoo.html,August 2010,"Trevor Blackwell, Jessica Livingston, and Geoff Ralston"
The Future of Startup Funding,http://paulgraham.com/future.html,August 2010,"Sam Altman, John Bautista, Trevor Blackwell, Paul Buchheit, Jeff Clavier, Patrick Collison, Ron Conway, Matt Cohler, Chris Dixon, Mitch Kapor, Josh Kopelman, Pete Koomen, Carolynn Levy, Jessica Livingston, Ariel Poler, Geoff Ralston, Naval Ravikant, Dan Siroker, Harj Taggar, and Fred Wilson"
The Acceleration of Addictiveness,http://paulgraham.com/addiction.html,July 2010,"Sam Altman, Patrick Collison, Jessica Livingston, and Robert Morris"
The Top Idea in Your Mind,http://paulgraham.com/top.html,July 2010,"Sam Altman, Patrick Collison, Jessica Livingston, and Robert Morris"
How to Lose Time and Money,http://paulgraham.com/selfindulgence.html,July 2010,"Sam Altman, Trevor Blackwell, Patrick Collison, Jessica Livingston, and Robert Morris"
Organic Startup Ideas,http://paulgraham.com/organic.html,April 2010,"Sam Altman, Trevor Blackwell, and Jessica Livingston"
Apple's Mistake,http://paulgraham.com/apple.html,November 2009,"Sam Altman, Trevor Blackwell, Ross Boucher, James Bracy, Gabor Cselle, Patrick Collison, Jason Freedman, John Gruber, Joe Hewitt, Jessica Livingston, Robert Morris, Teng Siong Ong, Nikhil Pandit, Savraj Singh, and Jared Tame"
What Startups Are Really Like,http://paulgraham.com/really.html,October 2009,"Jessica Livingston, the founders"
Persuade xor Discover,http://paulgraham.com/discover.html,September 2009,Jessica Livingston and Robert Morris
Post-Medium Publishing,http://paulgraham.com/publishing.html,September 2009,"Michael Arrington, Trevor Blackwell, Steven Levy, Robert Morris, and Geoff Ralston"
The List of N Things,http://paulgraham.com/nthings.html,September 2009,None
The Anatomy of Determination,http://paulgraham.com/determination.html,September 2009,"Sam Altman, Jessica Livingston, and Robert Morris"
What Kate Saw in Silicon Valley,http://paulgraham.com/kate.html,August 2009,None
The Trouble with the Segway,http://paulgraham.com/segway.html,July 2009,None
Ramen Profitable,http://paulgraham.com/ramenprofitable.html,July 2009,Jessica Livingston
"Maker's Schedule, Manager's Schedule",http://paulgraham.com/makersschedule.html,July 2009,"Sam Altman, Trevor Blackwell, Paul Buchheit, Jessica Livingston, and Robert Morris"
A Local Revolution?,http://paulgraham.com/revolution.html,April 2009,"Patrick Collison, Jessica Livingston, and Fred Wilson"
Why Twitter is a Big Deal,http://paulgraham.com/twitter.html,April 2009,None
The Founder Visa,http://paulgraham.com/foundervisa.html,April 2009,"Trevor Blackwell, Paul Buchheit, Jeff Clavier, David Hornik, Jessica Livingston, Greg Mcadoo, Aydin Senkut, and Fred Wilson"
Five Founders,http://paulgraham.com/5founders.html,April 2009,None
Relentlessly Resourceful,http://paulgraham.com/relres.html,March 2009,Trevor Blackwell and Jessica Livingston
How to Be an Angel Investor,http://paulgraham.com/angelinvesting.html,March 2009,"Sam Altman, Paul Buchheit, Jessica Livingston, Robert Morris, and Fred Wilson"
Why TV Lost,http://paulgraham.com/convergence.html,March 2009,"Sam Altman, Trevor Blackwell, Nancy Cook, Michael Seibel, Emmett Shear, and Fred Wilson"
Can You Buy a Silicon Valley? Maybe.,http://paulgraham.com/maybe.html,February 2009,"Trevor Blackwell, Jessica Livingston, Robert Morris, and Fred Wilson"
What I've Learned from Hacker News,http://paulgraham.com/hackernews.html,February 2009,"Justin Kan, Jessica Livingston, Robert Morris, Alexis Ohanian, Emmet Shear, and Fred Wilson"
Startups in 13 Sentences,http://paulgraham.com/13sentences.html,February 2009,None
Keep Your Identity Small,http://paulgraham.com/identity.html,February 2009,"Sam Altman, Trevor Blackwell, Paul Buchheit, and Robert Morris"
After Credentials,http://paulgraham.com/credentials.html,December 2008,"Trevor Blackwell, Sarah Harlin, Jessica Livingston, and David Sloo"
Could VC be a Casualty of the Recession?,http://paulgraham.com/divergence.html,December 2008,"Sam Altman, Trevor Blackwell, David Hornik, Jessica Livingston, Robert Morris, and Fred Wilson"
The High-Res Society,http://paulgraham.com/highres.html,December 2008,"Trevor Blackwell, Paul Buchheit, Jessica Livingston, and Robert Morris"
"The Other Half of ""Artists Ship""",http://paulgraham.com/artistsship.html,November 2008,None
Why to Start a Startup in a Bad Economy,http://paulgraham.com/badeconomy.html,October 2008,None
A Fundraising Survival Guide,http://paulgraham.com/fundraising.html,August 2008,"Trevor Blackwell, David Hornik, Jessica Livingston, Robert Morris, and Fred Wilson"
The Pooled-Risk Company Management Company,http://paulgraham.com/prcmc.html,July 2008,"Trevor Blackwell, Jessica Livingston, Michael Mandel, Robert Morris, and Fred Wilson"
Cities and Ambition,http://paulgraham.com/cities.html,May 2008,"Trevor Blackwell, Sarah Harlin, Jessica Livingston, Jackie McDonough, Robert Morris, and David Sloo"
Disconnecting Distraction,http://paulgraham.com/distraction.html,May 2008,None
Lies We Tell Kids,http://paulgraham.com/lies.html,May 2008,"Sam Altman, Marc Andreessen, Trevor Blackwell, Patrick Collison, Jessica Livingston, Jackie McDonough, Robert Morris, and David Sloo"
Be Good,http://paulgraham.com/good.html,April 2008,"Trevor Blackwell, Paul Buchheit, Jessica Livingston, and Robert Morris"
Why There Aren't More Googles,http://paulgraham.com/googles.html,April 2008,"Sam Altman, Paul Buchheit, David Hornik, Jessica Livingston, Robert Morris, and Fred Wilson"
Some Heroes,http://paulgraham.com/heroes.html,April 2008,"Trevor Blackwell, Jessica Livingston, and Jackie McDonough"
How to Disagree,http://paulgraham.com/disagree.html,March 2008,Trevor Blackwell and Jessica Livingston
You Weren't Meant to Have a Boss,http://paulgraham.com/boss.html,March 2008,"Trevor Blackwell, Ross Boucher, Aaron Iba, Abby Kirigin, Ivan Kirigin, Jessica Livingston, and Robert Morris"
A New Venture Animal,http://paulgraham.com/ycombinator.html,March 2008,"Trevor Blackwell, Jessica Livingston, and Robert Morris"
Trolls,http://paulgraham.com/trolls.html,February 2008,None
Six Principles for Making New Things,http://paulgraham.com/newthings.html,February 2008,None
Why to Move to a Startup Hub,http://paulgraham.com/startuphubs.html,October 2007,"Sam Altman, Jessica Livingston, Harj Taggar, and Kulveer Taggar"
The Future of Web Startups,http://paulgraham.com/webstartups.html,October 2007,None
How to Do Philosophy,http://paulgraham.com/philosophy.html,September 2007,"Trevor Blackwell, Paul Buchheit, Jessica Livingston, Robert Morris, Mark Nitzberg, and Peter Norvig"
News from the Front,http://paulgraham.com/colleges.html,September 2007,"Trevor Blackwell, Sarah Harlin, Jessica Livingston, Jackie McDonough, Peter Norvig, and Robert Morris"
How Not to Die,http://paulgraham.com/die.html,August 2007,None
Holding a Program in One's Head,http://paulgraham.com/head.html,August 2007,"Sam Altman, David Greenspan, Aaron Iba, Jessica Livingston, Robert Morris, Peter Norvig, Lisa Randall, Emmett Shear, Sergei Tsarev, and Stephen Wolfram"
Stuff,http://paulgraham.com/stuff.html,July 2007,None
The Equity Equation,http://paulgraham.com/equity.html,July 2007,"Sam Altman, Trevor Blackwell, Paul Buchheit, Hutch Fishman, David Hornik, Paul Kedrosky, Jessica Livingston, Gary Sabot, and Joshua Schachter"
An Alternative Theory of Unions,http://paulgraham.com/unions.html,May 2007,None
The Hacker's Guide to Investors,http://paulgraham.com/guidetoinvestors.html,April 2007,"Sam Altman, Paul Buchheit, Hutch Fishman, and Robert Morris"
Two Kinds of Judgement,http://paulgraham.com/judgement.html,April 2007,None
Microsoft is Dead,http://paulgraham.com/microsoft.html,April 2007,None
Why to Not Not Start a Startup,http://paulgraham.com/notnot.html,March 2007,"Trevor Blackwell, Jessica Livingston, and Robert Morris"
Is It Worth Being Wise?,http://paulgraham.com/wisdom.html,February 2007,"Trevor Blackwell, Sarah Harlin, Jessica Livingston, and Robert Morris"
Learning from Founders,http://paulgraham.com/foundersatwork.html,January 2007,None
How Art Can Be Good,http://paulgraham.com/goodart.html,December 2006,"Trevor Blackwell, Jessica Livingston, and Robert Morris"
The 18 Mistakes That Kill Startups,http://paulgraham.com/startupmistakes.html,October 2006,"Sam Altman, Jessica Livingston, Greg McAdoo, and Robert Morris"
A Student's Guide to Startups,http://paulgraham.com/mit.html,October 2006,Jessica Livingston and Robert Morris
How to Present to Investors,http://paulgraham.com/investors.html,August 2006,None
Copy What You Like,http://paulgraham.com/copy.html,July 2006,None
The Island Test,http://paulgraham.com/island.html,July 2006,None
The Power of the Marginal,http://paulgraham.com/marginal.html,June 2006,"Sam Altman, Trevor Blackwell, Paul Buchheit, Sarah Harlin, Jessica Livingston, Jackie McDonough, Robert Morris, Olin Shivers, and Chris Small"
Why Startups Condense in America,http://paulgraham.com/america.html,May 2006,"Trevor Blackwell, Matthias Felleisen, Jessica Livingston, Robert Morris, Neil Rimer, Hugues Steinier, Brad Templeton, Fred Wilson, and Stephen Wolfram"
How to Be Silicon Valley,http://paulgraham.com/siliconvalley.html,May 2006,"Chris Anderson, Trevor Blackwell, Marc Hedlund, Jessica Livingston, Robert Morris, Greg Mcadoo, Fred Wilson, and Stephen Wolfram"
